disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
3137,,,,,9019537.72,8938453.81,,2021-02-12T00:00:00.000Z,,,809d04fc6bd6cbdee275180126d51d96,2021-02-12T03:43:15.880Z,5aa2d587cb4f0f7020b18598
3109,,,,,5541924.38,5534868.12,7056.26,2021-02-12T00:00:00.000Z,,,c5c88c4de5de45b8f1004d3c277c0bed,2021-02-12T05:03:26.626Z,5aa2d587cb4f0f7020b18578
2917,,,,,515274.49,,,2021-02-12T00:00:00.000Z,,0,0dacc479c606da4e9104d2f93feb835a,2021-02-12T03:43:15.760Z,5aa2d587cb4f0f7020b1859d
3134,,,,,25469687.41,30318650.49,,2021-02-12T00:00:00.000Z,,,7d55f302a1a06d3f85b8c861076c4bca,2021-02-12T03:43:15.879Z,5aa2d587cb4f0f7020b1857d
2942,,,,,24833.31,306.9,,2021-02-12T00:00:00.000Z,,0,cfedbfee4c6a1cdd975162813a1465f1,2021-02-12T03:43:15.774Z,5aa2d587cb4f0f7020b185a2
3159,,,,,,,,,,,62b32ff74bf7eb04694d8c36c3c32a07,2020-06-01T12:49:27.148Z,5aa2d587cb4f0f7020b18582
2967,,,,,32492.34,8065.59,,2021-02-12T00:00:00.000Z,,0,d0f2b1ab09450d3a3f194835950f301b,2021-02-12T03:43:15.792Z,5aa2d587cb4f0f7020b185a7
3052,,,,,,,,,,,a5a91fee04690e9c74b33120f4bd635b,2020-06-01T12:49:26.971Z,5aa2d587cb4f0f7020b18587
2992,,,,,2393137.14,,,2021-02-12T00:00:00.000Z,,0,d6271ba73bcc551204d39653b5e9582a,2021-02-12T03:43:15.807Z,5aa2d587cb4f0f7020b185ac
3077,,,,,,,,,,,099901a00ce6ffb25be4773f39f1b5f9,2020-06-01T12:49:27.008Z,5aa2d587cb4f0f7020b1858c
3018,,,,,,,,,,,95673b2196b625d4e2619baccf53a073,2020-06-01T12:49:26.922Z,5aa2d587cb4f0f7020b185b1
3124,,,,,,,,,,,fdb2608387ccdfb75d7faf86e1813dff,2020-06-01T12:49:27.093Z,5aa2d587cb4f0f7020b1857b
3149,,,,,,,,,,,5abf1a78ffedb8dc03f766dd8d141664,2020-06-01T12:49:27.126Z,5aa2d587cb4f0f7020b18580
3042,,,,,,,,,,,bcdafb96f68a0705c8600bcc6f8e2cab,2020-06-01T12:49:26.954Z,5aa2d587cb4f0f7020b18585
3067,,,,,,,,,,,6b541a8b5e57022e45817ca2b94d2905,2020-06-01T12:49:27.003Z,5aa2d587cb4f0f7020b1858a
3092,,,,,,,,,,,0058f698786b3c517e16ac8b7bd73215,2020-06-01T12:49:27.031Z,5aa2d587cb4f0f7020b1858f
3117,,,,,4478262.25,4478262.25,,2021-02-12T00:00:00.000Z,,,5eb60fc0845f51245ba9e9209b280a76,2021-02-12T05:03:26.632Z,5aa2d587cb4f0f7020b18594
3142,,,,,6218085.26,6218085.26,,2021-02-12T00:00:00.000Z,,,7f30a911d4c7f0b4b27fdcf2edb99efa,2021-02-12T03:43:15.889Z,5aa2d587cb4f0f7020b18599
2922,,,,,96413.96,17562.36,,2021-02-12T00:00:00.000Z,,0,4882fac3c16d30e19d313fb8cf8e2a07,2021-02-12T03:43:15.764Z,5aa2d587cb4f0f7020b1859e
2947,,,,,411278.9,186835.89,,2021-02-12T00:00:00.000Z,,0,73286d1478d806aa0acaf7ceef9ecba5,2021-02-12T03:43:15.777Z,5aa2d587cb4f0f7020b185a3
2972,,,,,427980.25,,,2021-02-12T00:00:00.000Z,,0,051d0da1e64b68e990d311311ef5cac1,2021-02-12T03:43:15.795Z,5aa2d587cb4f0f7020b185a8
2997,,,,,51448.94,4344.83,,2021-02-12T00:00:00.000Z,,0,c99ac7859cb085ea0ef4dfb2862433dd,2021-02-12T03:43:15.809Z,5aa2d587cb4f0f7020b185ad
3023,,,,,,,,,,,7ad9e971a1f5bd973ac43bd0e5dd03f7,2020-06-01T12:49:26.926Z,5aa2d587cb4f0f7020b185b2
3102,,,,,167897.12,167897.12,,2021-02-12T00:00:00.000Z,,,a8ca30dc66368407cc454d5b7b28be6f,2021-02-12T05:03:26.623Z,5aa2d587cb4f0f7020b18591
3127,,,,,41304168.5,41304168.5,,2021-02-12T00:00:00.000Z,,,4c02c54721d7580616b1b869c3defdb2,2021-02-12T05:03:26.636Z,5aa2d587cb4f0f7020b18596
